timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/22 13:34:54.055, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 202.37 W
2026/09/22 13:34:55.055, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 201.79 W
2026/09/22 13:34:56.055, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 194.31 W
2026/09/22 13:34:57.055, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 199.41 W
2026/09/22 13:34:58.055, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.42 W
2026/09/22 13:34:59.055, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 200.63 W
2026/09/22 13:35:00.056, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 201.44 W
2026/09/22 13:35:01.056, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 193.75 W
2026/09/22 13:35:02.056, 0, 96 %, 5 %, 4947 MiB, 143771 MiB, 193.70 W
2026/09/22 13:35:03.058, 0, 0 %, 0 %, 5651 MiB, 143771 MiB, 134.44 W
2026/09/22 13:35:04.058, 0, 75 %, 4 %, 143185 MiB, 143771 MiB, 153.60 W
2026/09/22 13:35:05.059, 0, 0 %, 0 %, 4947 MiB, 143771 MiB, 178.11 W
2026/09/22 13:35:06.063, 0, 0 %, 0 %, 4947 MiB, 143771 MiB, 132.79 W
2026/09/22 13:35:07.064, 0, 0 %, 0 %, 4947 MiB, 143771 MiB, 122.08 W
2026/09/22 13:35:08.064, 0, 0 %, 0 %, 143185 MiB, 143771 MiB, 183.07 W
2026/09/22 13:35:09.064, 0, 0 %, 0 %, 4947 MiB, 143771 MiB, 133.27 W
2026/09/22 13:35:10.078, 0, 0 %, 0 %, 4947 MiB, 143771 MiB, 121.96 W
2026/09/22 13:35:11.092, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 122.27 W
2026/09/22 13:35:12.092, 0, 0 %, 0 %, 116 MiB, 143771 MiB, 112.14 W
