timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/23 11:28:09.068, 2, 91 %, 1775 MiB, 143.63 W
2026/09/23 11:28:09.069, 3, 94 %, 1741 MiB, 145.76 W
2026/09/23 11:28:19.072, 0, 92 %, 1739 MiB, 141.60 W
2026/09/23 11:28:19.073, 1, 89 %, 1739 MiB, 131.20 W
2026/09/23 11:28:19.074, 2, 91 %, 1775 MiB, 133.09 W
2026/09/23 11:28:19.075, 3, 94 %, 1901 MiB, 135.51 W
2026/09/23 11:28:29.078, 0, 91 %, 1739 MiB, 146.72 W
2026/09/23 11:28:29.079, 1, 89 %, 1739 MiB, 140.17 W
2026/09/23 11:28:29.081, 2, 91 %, 1775 MiB, 144.11 W
2026/09/23 11:28:29.082, 3, 93 %, 1741 MiB, 145.27 W
2026/09/23 11:28:39.084, 0, 92 %, 1739 MiB, 124.87 W
2026/09/23 11:28:39.086, 1, 90 %, 1739 MiB, 114.56 W
2026/09/23 11:28:39.087, 2, 91 %, 1775 MiB, 115.02 W
2026/09/23 11:28:39.088, 3, 93 %, 1741 MiB, 111.96 W
2026/09/23 11:28:49.091, 0, 69 %, 1737 MiB, 132.03 W
2026/09/23 11:28:49.092, 1, 64 %, 1739 MiB, 123.17 W
2026/09/23 11:28:49.093, 2, 90 %, 1775 MiB, 127.37 W
2026/09/23 11:28:49.094, 3, 93 %, 1739 MiB, 132.43 W
2026/09/23 11:28:59.096, 0, 91 %, 1737 MiB, 135.81 W
2026/09/23 11:28:59.097, 1, 87 %, 1739 MiB, 129.76 W
2026/09/23 11:28:59.098, 2, 91 %, 1775 MiB, 131.15 W
2026/09/23 11:28:59.099, 3, 93 %, 1739 MiB, 136.68 W
2026/09/23 11:29:09.102, 0, 92 %, 1739 MiB, 137.26 W
2026/09/23 11:29:09.104, 1, 87 %, 1739 MiB, 129.76 W
2026/09/23 11:29:09.105, 2, 90 %, 1775 MiB, 132.60 W
2026/09/23 11:29:09.106, 3, 93 %, 1741 MiB, 137.65 W
2026/09/23 11:29:19.108, 0, 92 %, 1739 MiB, 137.74 W
2026/09/23 11:29:19.109, 1, 87 %, 1739 MiB, 127.83 W
2026/09/23 11:29:19.110, 2, 91 %, 1971 MiB, 127.46 W
2026/09/23 11:29:19.112, 3, 93 %, 1901 MiB, 127.29 W
2026/09/23 11:29:29.115, 0, 92 %, 1737 MiB, 137.65 W
2026/09/23 11:29:29.116, 1, 88 %, 1739 MiB, 127.35 W
2026/09/23 11:29:29.117, 2, 90 %, 1775 MiB, 132.21 W
2026/09/23 11:29:29.118, 3, 93 %, 1899 MiB, 131.64 W
2026/09/23 11:29:39.121, 0, 92 %, 1737 MiB, 134.84 W
2026/09/23 11:29:39.122, 1, 87 %, 1739 MiB, 127.35 W
2026/09/23 11:29:39.123, 2, 90 %, 1775 MiB, 132.12 W
2026/09/23 11:29:39.124, 3, 93 %, 1739 MiB, 135.81 W
2026/09/23 11:29:49.126, 0, 91 %, 1739 MiB, 134.84 W
2026/09/23 11:29:49.127, 1, 88 %, 1739 MiB, 127.91 W
2026/09/23 11:29:49.128, 2, 90 %, 1775 MiB, 133.18 W
2026/09/23 11:29:49.129, 3, 94 %, 1741 MiB, 134.84 W
2026/09/23 11:29:59.132, 0, 91 %, 1739 MiB, 144.41 W
